timestamp,iter,games,new_samples,buffer_len,avg_plies,w_1_0,w_0_1,draws,stars,avg_pi_ent,avg_v,v_min,v_max,forced_end_rate,forced_resign_rate,forced_draw_rate,sf_boot_rate,sf_z_mean,sf_cp_abs_mean,sf_fail_sum,vs_best_rate,vs_opp_rate,threefold_per_game,rep_plies_per_game,loss,pol_loss,val_loss,ml_loss,grad_norm,pred_ent,tgt_ent,v_mean,z_mean,vz_corr,ml_mean,ml_tgt_mean,lr,selfplay_time_s,train_time_s,iter_time_s,samples_per_s,games_per_s
2026-04-21T16:49:54.166223+00:00,1,80,8656,500000,143.1,30,28,22,0,1.777,0.0021,-0.996,0.999,0.0125,0.0,0.0125,0.5375,-0.164,3454.1,0,0.225,0.225,11.2,8.2,6.16352,2.12613,0.89144,12.05867,3.025,2.149,1.791,0.0312,0.0433,0.6836,79.76,73.2,3.37e-05,145.6,118.3,264.0,59.4,0.55
2026-04-21T16:52:16.570082+00:00,2,80,8408,500000,146.2,25,26,29,0,1.777,0.0017,-0.995,0.999,0.0125,0.0,0.0125,0.55,-0.0348,3136.0,0,0.287,0.212,11.53,8.29,5.97714,2.12764,0.847,11.54667,2.617,2.113,1.796,-0.0276,-0.0452,0.7013,81.07,74.24,6.54e-05,22.6,119.7,142.4,371.7,3.54
2026-04-21T16:54:25.582837+00:00,3,80,9145,500000,145.9,24,27,29,0,1.774,-0.0001,-0.998,1.0,0.0,0.0,0.0,0.5875,-0.2256,3289.8,0,0.188,0.212,12.36,9.1,6.06402,2.18034,0.85336,11.6686,3.56,2.143,1.818,0.0385,0.0145,0.6926,80.76,74.87,9.70e-05,8.9,120.0,129.0,1022.8,8.95
2026-04-21T16:56:35.953012+00:00,4,80,9020,500000,145.9,33,21,26,0,1.803,-0.0057,-0.999,0.997,0.0125,0.0,0.0125,0.6125,0.2191,2582.2,0,0.3,0.1,11.4,8.47,5.80024,2.11854,0.84317,10.49186,3.204,2.141,1.787,0.0187,-0.0123,0.6955,80.75,75.56,1.29e-04,11.3,119.0,130.4,799.4,7.09
2026-04-21T16:58:57.173962+00:00,5,80,9699,500000,152.3,25,23,32,0,1.788,-0.0032,-0.992,0.999,0.0,0.0,0.0,0.575,0.0529,2958.1,0,0.237,0.138,14.38,9.51,5.86352,2.16906,0.84625,10.52561,4.188,2.179,1.838,-0.0171,-0.0001,0.6969,82.19,76.95,1.60e-04,21.4,119.8,141.2,452.9,3.74
2026-04-21T17:01:25.666807+00:00,6,80,9087,500000,148.8,26,31,23,0,1.784,0.0019,-0.993,0.996,0.0125,0.0,0.0125,0.6125,-0.0953,2650.8,0,0.225,0.212,14.03,9.56,5.86688,2.14467,0.80327,11.42691,4.294,2.133,1.804,0.0112,0.0066,0.7387,80.23,73.25,1.92e-04,25.7,122.8,148.5,354.3,3.12
2026-04-21T17:03:38.015102+00:00,7,80,9898,500000,148.8,24,33,23,0,1.803,0.0,-0.997,0.997,0.0125,0.0,0.0125,0.6,-0.0006,3844.5,0,0.175,0.1,12.54,9.3,5.86198,2.14298,0.81044,11.28594,3.324,2.141,1.806,-0.0039,-0.0093,0.7367,83.17,76.99,2.00e-04,13.1,119.2,132.3,752.7,6.08
2026-04-21T17:05:52.796456+00:00,8,80,8850,500000,143.2,27,29,24,0,1.808,0.0096,-0.997,1.0,0.0125,0.0,0.0125,0.5375,-0.007,3042.6,0,0.287,0.113,13.78,9.39,5.79211,2.09621,0.798,11.33928,2.934,2.114,1.789,-0.0138,-0.0232,0.7431,79.05,72.38,2.00e-04,16.8,118.0,134.8,527.4,4.77
2026-04-21T17:08:09.180639+00:00,9,80,9446,500000,153.7,26,31,23,0,1.786,0.0009,-0.998,0.999,0.0125,0.0,0.0125,0.625,-0.0876,2925.4,0,0.275,0.138,13.3,9.49,5.82406,2.16964,0.82432,10.62415,3.481,2.17,1.822,-0.0222,0.0021,0.7026,82.35,76.13,2.00e-04,20.7,115.6,136.4,455.8,3.86
2026-04-21T17:15:42.059841+00:00,10,80,8897,500000,147.8,30,22,28,0,1.782,0.005,-0.995,0.995,0.0125,0.0,0.0125,0.6125,0.1154,2751.3,0,0.275,0.175,13.78,9.29,5.65516,2.16091,0.7713,10.44013,4.058,2.14,1.822,-0.0082,0.0292,0.7588,80.58,75.35,2.00e-04,23.3,118.3,452.9,382.6,3.44
2026-04-21T17:17:42.483673+00:00,11,80,9308,500000,155.2,28,29,23,0,1.784,0.0019,-0.997,0.997,0.0,0.0,0.0,0.625,-0.1064,2811.2,0,0.325,0.138,14.36,9.6,5.61138,2.12946,0.76849,10.40463,4.027,2.123,1.814,0.0115,0.0003,0.7666,80.94,74.57,2.00e-04,1.2,119.1,120.4,7490.8,64.38
2026-04-21T17:19:41.257423+00:00,12,80,9646,500000,151.4,29,25,26,0,1.794,0.0005,-0.996,1.0,0.0125,0.0,0.0125,0.6125,0.1091,3282.1,0,0.25,0.113,15.09,9.51,5.43694,2.13087,0.7523,9.50214,3.327,2.134,1.793,0.0066,0.0109,0.778,80.38,75.8,2.00e-04,1.0,117.7,118.8,9430.1,78.21
2026-04-21T17:21:39.815150+00:00,13,80,9112,500000,145.2,23,27,30,0,1.798,0.0027,-0.993,0.997,0.0125,0.0,0.0125,0.6375,0.0908,3560.5,0,0.175,0.225,12.3,9.01,5.57228,2.14308,0.76566,10.10028,4.58,2.152,1.814,-0.0047,-0.0136,0.7741,80.01,75.1,2.00e-04,1.3,117.2,118.6,6930.1,60.84
